"zip","lat","lng","kwh_month","kwh_day"
"90001","33.973271508000494"," -118.24896959899968",336.75,11.0638913466
"90002","33.94895251300045"," -118.24697958699971",356.25,11.704562115
"90003","33.96335186100049"," -118.27393599999971",318.25,10.4560754894
"90004","34.07572239300049"," -118.30301712299968",374.875,12.3164848361
"90005","34.05907233200048"," -118.30301712299968",316,10.3821519392
"90006","34.05010424100044"," -118.2926890439997",257.375,8.4560327701
"90007","34.02833141800045"," -118.28507659499968",294,9.6593438928
"90008","34.01097312100046"," -118.34158773599972",365.25,12.0002563158
"90009","33.953931889000444"," -118.3858763769997",363.125,11.9304396295
"90010","34.06139256500046"," -118.30969974099969",368.75,12.115248505
"90011","34.00790120200048"," -118.25903697699971",303.5,9.9714655492
"90012","34.059480762000476"," -118.24204800599972",281.875,9.2609780945
"90013","34.04726260700045"," -118.24609754999972",305.75,10.0453890994
"90014","34.04475119400047"," -118.2527367189997",290,9.527924248
"90015","34.04012376300045"," -118.26498963499972",268,8.8051162016
"90016","34.02888323300044"," -118.35308896599969",337.25,11.0803188022
"90017","34.05230281300044"," -118.26338632799968",237.5,7.80304141
"90018","34.03077331100047"," -118.31686899999971",332.75,10.9324717018
"90019","34.04884418900048"," -118.33610868499972",339.625,11.1583492163
"90020","34.06636325100044"," -118.30164844599972",346.375,11.3801198669
"90021","34.03012156000045"," -118.24177861599969",401.75,13.1994605746
"90023","34.02418193800048"," -118.20195663999971",331.5,10.8914030628
"90024","34.06136215000049"," -118.4402367409997",570,18.727299384
"90025","34.04518134900047"," -118.45025632399972",367.375,12.0700730021
"90026","34.07687382000046"," -118.26535895999967",308.875,10.1480606969
"90027","34.10546395500046"," -118.2923675139997",379.5,12.4684388004
"90028","34.10072355400047"," -118.32821815499972",288.5,9.4786418812
"90029","34.08989145600049"," -118.29490934299969",271.75,8.9283221186
"90031","34.07752122500045"," -118.2131059239997",324.125,10.6490980927
"90032","34.08151428500048"," -118.17678602299969",368.25,12.0988210494
"90033","34.04856176400045"," -118.2115199969997",276,9.0679554912
"90034","34.02829231300046"," -118.40269589399969",340.75,11.1953109914
"90035","34.05421027100044"," -118.38387767499972",453.5,14.8997022292
"90036","34.06889204400045"," -118.35077742299967",392,12.8791251904
"90037","34.00349102100046"," -118.28709702299972",303.25,9.9632518214
"90038","34.08898335000049"," -118.32483774099973",282.5,9.281512414
"90039","34.111603448000494"," -118.2612572749997",422.75,13.8894137098
"90041","34.13538366300048"," -118.20684911499967",452,14.8504198624
"90042","34.11332407100048"," -118.19142869099971",379.625,12.4725456643
"90043","33.98673233600044"," -118.33290641599967",368,12.0906073216
"90044","33.95386236800044"," -118.2919460489997",329.375,10.8215863765
"90045","33.961522614000444"," -118.39344972199967",448.5,14.7354276732
"90046","34.097151960000474"," -118.35826821299969",568.375,18.6739101533
"90047","33.95687345800047"," -118.3090784049997",396.5,13.0269722908
"90048","34.07316318500045"," -118.37406665299972",450.125,14.7888169039
"90049","34.06172278600047"," -118.4722594319997",859.625,28.2429030403
"90056","33.98651074000048"," -118.36959998699967",476,15.6389377312
"90057","34.06211383600049"," -118.27713826999968",249.875,8.2096209361
"90058","34.00184426500044"," -118.22112680399971",271,8.9036809352
"90059","33.927010235000466"," -118.24839605799968",341.5,11.2199521748
"90061","33.92303021000049"," -118.27377957999971",317.75,10.4396480338
"90062","34.00387338200045"," -118.30885680999972",363.75,11.950973949
"90063","34.044881544000475"," -118.18593660399972",308.75,10.143953833
"90064","34.035413777000485"," -118.4321767559997",540.375,17.7539726397
"90065","34.10881395500047"," -118.22766603799971",404.875,13.3021321721
"90066","34.002152760000456"," -118.4290396619997",392.5,12.895552646
"90067","34.059550283000476"," -118.41458817399968",805.625,26.4687378355
"90068","34.115253253000446"," -118.33141607799968",611.375,20.0866713349
"90069","34.08940047000044"," -118.3797890249997",1075.625,35.3395638595
"90077","34.10409093400045"," -118.45101669999968",1692.125,55.5946166143
"90094","33.972932598000455"," -118.42532902799968",368.125,12.0947141855
"90210","34.08553341500044"," -118.4042687859997",1956,64.2642063072
"90212","34.063843148000444"," -118.40025834499971",596.125,19.5856339391
"90230","33.99506171100046"," -118.39500957899969",366.375,12.0372180909
"90232","34.019702237000445"," -118.39595678999967",261.25,8.583345551
"90247","33.89189390000047"," -118.29849831699971",368.75,12.115248505
"90248","33.87544370900048"," -118.28237834699968",435.625,14.3124206915
"90272","34.04886156900045"," -118.53572692799969",998.125,32.7933082415
"90275","33.76310359300044"," -118.3666584179997",283.625,9.3184741891
"90291","33.99258071300045"," -118.4663762939997",380.5,12.5012937116
"90292","33.98163129900047"," -118.4511079449997",484.875,15.9305250681
"90293","33.95744265300044"," -118.43916786999972",471.375,15.4869837669
"90402","34.03254172900046"," -118.50584632399972",985.875,32.3908355793
"90403","34.02842266300047"," -118.49353692399967",557.375,18.3125061301
"90405","34.01013019000044"," -118.4726765529997",378.875,12.4479044809
"90501","33.82909119100049"," -118.3142098569997",323.375,10.6244569093
"90710","33.79480040800047"," -118.2987286019997",368.875,12.1193553689
"90717","33.79380105600046"," -118.3173599859997",403.75,13.265170397
"90731","33.73272331400045"," -118.29229799399968",379.75,12.4766525282
"90732","33.73946241700048"," -118.31340603099972",495.375,16.2755016357
"90744","33.78372064300049"," -118.26266940199969",330.875,10.8708687433
"91040","34.25970296100047"," -118.3244988299997",672.5,22.094927782
"91042","34.25460192400044"," -118.2872577869997",520.5,17.1009812796
"91105","34.136982626000474"," -118.15917571599971",373.75,12.279523061
"91205","34.13853379300048"," -118.2438685629997",630.125,20.7027009199
"91214","34.228570997000475"," -118.2469491709997",707,23.2284222184
"91302","34.14327419400047"," -118.6628270279997",949.875,31.2080587761
"91303","34.19807340300048"," -118.59909883299969",430.125,14.1317186799
"91304","34.22192313800048"," -118.60967892099967",662,21.7499512144
"91306","34.208401481000465"," -118.5759399529997",607.625,19.9634654179
"91307","34.197812702000476"," -118.63800835599972",828.875,27.2326145209
"91309","34.21867307400049"," -118.59758676999968",747.125,24.5467255303
"91311","34.25282047300044"," -118.5950275619997",811.25,26.653546711
"91316","34.16673287800046"," -118.5162960619997",747.5,24.559046122
"91324","34.23552300500046"," -118.54598982999971",697.75,22.9245142898
"91325","34.23588364000045"," -118.5210581879997",675.375,22.1893856517
"91326","34.27493220500048"," -118.55013931099973",828.875,27.2326145209
"91330","34.24341353500046"," -118.5360962529997",237.5,7.80304141
"91331","34.257261068000446"," -118.41981955999972",529.375,17.3925686165
"91335","34.200180731000444"," -118.54031959799971",552.75,18.1605521658
"91340","34.286190115000466"," -118.43744724799967",537.875,17.6718353617
"91342","34.30514302800049"," -118.43521825999971",595.5,19.5650996196
"91343","34.235514315000444"," -118.4752661759997",591.375,19.4295731109
"91344","34.274801855000476"," -118.50113633899969",782.5,25.708968014
"91345","34.262123129000486"," -118.46175755399969",618.25,20.3125488494
"91352","34.22551211300049"," -118.37651723499971",537.625,17.6636216339
"91356","34.16990038700044"," -118.5404890529997",875,28.7480473
"91364","34.16201420300047"," -118.59846880599969",923.75,30.349724221
"91367","34.178642539000464"," -118.60957898599969",722.5,23.737673342
"91401","34.181153951000454"," -118.4348272089997",544.625,17.8936060123
"91402","34.22575108800049"," -118.4489267519997",439.25,14.4315197446
"91403","34.15359358100045"," -118.4596676059997",658.875,21.6472796169
"91405","34.20047184600048"," -118.4486964669997",438.5,14.4068785612
"91406","34.199811405000446"," -118.48688906499967",517.5,17.002416546
"91411","34.17933339400048"," -118.45792960399967",455.125,14.9530914599
"91423","34.15306349100047"," -118.43295885699968",633.75,20.821799973
"91436","34.15384124700046"," -118.4873366009997",1290.875,42.4115834953
"91504","34.198251548000485"," -118.33049928199972",556.375,18.2796512189
"91505","34.16767140000047"," -118.34449888999967",407.25,13.3801625862
"91601","34.167132618000494"," -118.37252852099971",402,13.2076743024
"91602","34.15134286900047"," -118.3690785869997",557.625,18.3207198579
"91604","34.14446038000045"," -118.3942796179997",695.125,22.8382701479
"91605","34.20546425700047"," -118.40193986299971",459.75,15.1050454242
"91606","34.18673293900048"," -118.3868062089997",439.625,14.4438403363
"91607","34.16615064800044"," -118.39933720499971",698,22.9327280176
